"","TimeStamp","Enlem(N)","Boylam(E)","Derinlik(km)","MD","ML","Mw","Yer","Çözüm Niteligi"
"1","2020.12.17 14:41:00","37.0887"," 27.8977","0.0","-.-","2.1","-.-"," BAYIRKOY-MILAS (MUGLA)","Ilksel"
"2","2020.12.17 14:08:28","38.7172"," 33.8822","5.0","-.-","1.7","-.-"," OYMAAGAC-AGACOREN (AKSARAY)"," Ilksel"
"3","2020.12.17 13:49:50","36.9798"," 27.3760"," 11.5","-.-","2.2","-.-"," GOKOVA KORFEZI (AKDENIZ)","Ilksel"
"4","2020.12.17 13:29:13","39.4913"," 33.4902","4.0","-.-","1.9","-.-"," HACIYUSUFLU-CELEBI (KIRIKKALE)","Ilksel"
"5","2020.12.17 13:17:23","37.6122"," 31.3248","5.0","-.-","1.3","-.-"," YUKARIYAYLABEL-AKSU (ISPARTA)"," Ilksel"
"6","2020.12.17 12:45:25","36.8473"," 27.3647","5.3","-.-","1.4","-.-"," GOKOVA KORFEZI (AKDENIZ)","Ilksel"
"7","2020.12.17 12:32:09","35.9810"," 27.7645","2.4","-.-","1.4","-.-"," RODOS ADASI (AKDENIZ)"," Ilksel"
"8","2020.12.17 12:02:55","36.0335"," 27.6578","8.8","-.-","2.1","-.-"," AKDENIZ"," Ilksel"
"9","2020.12.17 11:49:52","37.7867"," 27.0035"," 24.8","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"10","2020.12.17 11:07:26","39.0883"," 42.5892"," 16.7","-.-","1.8","-.-"," GULKORU-MALAZGIRT (MUS)"," Ilksel"
"11","2020.12.17 11:00:04","38.6338"," 43.3628"," 11.9","-.-","2.8","-.-"," ASIT-(VAN)","Ilksel"
"12","2020.12.17 10:48:02","38.9265"," 26.2003"," 10.7","-.-","3.0","2.8"," MIDILLI ADASI (EGE DENIZI)","Ilksel"
"13","2020.12.17 10:19:11","34.7010"," 23.1628"," 14.6","-.-","4.0","4.0"," GIRIT ADASI (AKDENIZ)"," REVIZE01"
"14","2020.12.17 09:19:57","37.9037"," 26.8742","6.7","-.-","1.9","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
